Название;Тип;Флаг;MMSI;IMO;Позывной;Размер;GT;Грузоподъёмн.;Макс. скорость;Обновлено;Назначения;РВП;Морской статус;Особый груз;Скорость;Осадка;Курс;Направление;Расположение;Статус;Порт приписки;Судостроит. завод;Классифицировано;Год;Палубы;Материал корпуса;Номер корпуса;Тип корпуса;Производитель;Модель;Номер;Мощность (кВт/л.с.);Об./мин.;Тип двигателя;Ход цилиндра;Диаметр цилиндра;Подруль;Силовая установка;Кол. установок;Адрес;Индекс;Город;Страна;Телефон;Факс;E-Mail;Сайт;Грузоподъёмность;Gross Tonnage;Net Tonnage;Компенсированный GT;Водоизмещение;TPC;Длинна (ОДС);Длинна (ДМП);Ширина;Глубина;Высота;Киповая грузовм.;Зерновая грузовм.;Грузовм. рефрижераторных грузов;Рефрижераторный ДФЭ;ДФЭ;Пассажиры;SWL-устройство;Данные устройства;Тип устройства;Трюмы;Люки;Макс. размер люка;Грузовм. жидких грузов;Система инертного газа;Промывка рез. сырой нефтью;Химический Класс IMO;Насосы;Подача насоса;Резервуары;Классы
Morskoy Geotekhnik;Diesel;Russian Federation;273438250;6857302;UDDQ;48x8 m;395 t;138 t;9,5 kn;29 ноября, 8:06; ; ;На Ходу;Ни одного;(Ø7,3 kn);1,7 m;91,8° ;-;"46°23'22"" N 48°03'17"" E";In Service;Sochi;Tuapse;Russian Maritime Register;1960;-;Steel;-;-;Barnaultransmash;3D12A;-;442 / 600;-;-;-;-;-;Fixed Pitch;-;Office 713, ul Krasnogvardeyskaya 38;353461;Gelendzhik; ;+7 861 415 9453;+7 861 415 3954; ; ;138 t;395 t;118 t;-;-;-;48,3 m;44,4 m;8,5 m;2,6 m;-;254 m²;-;-;-;-;-;-;-;-;-;-;21.00x3.90;-;-;-;-;-;-;-;-
Myskhako;Diesel;Russian Federation;273150400;9083330;UEVI;140x16 m;4 991 t;5 828 t;10 kn;11 августа, 19:25;Astr-N Wait Order; ;На Якоре;Ни одного;(Ø0 kn);4,5 m;124,9° ;-;"46°18'31"" N 47°58'24"" E";In Service;Taganrog;Nizhniy Novgorod;Russian Maritime Register;1993;-;Steel;19610/21;-;-;8NVD48A-3U;-;1 940 / 2 638;428 rpm;-;-;-;-;Fixed Pitch;-;ul Barrikad 1, 603003 Nizhniy Novgorod;603003;Nizhniy Novgorod; ;+7 831 273 0641;+7 831 273 0649; ; ;5 828 t;4 991 t;1 641 t;-;-;-;139,8 m;134 m;16,7 m;6,7 m;-;6 785 m²;6 843 m²;-;-;-;-;-;-;-;-;-;18.70x11.80;-;-;-;-;-;-;-;-
Navigator;Diesel;Russian Federation;273374780;8841735;UBQN6;114x13 m;2 516 t;3 187 t;"<span title=""Сегодня, 11:51"">5мин назад</span>"; ; ;Пришвартовано;Ни одного;(Ø0,1 kn);3,6 m;208,7° ;-;"46°18'50"" N 47°58'15"" E";In Service;Phnom-Penh;Komarno;-;1980;-;Steel;1959;-;-;Skoda;6L275A2;-;1 030 / 1 400;600 rpm;-;-;-;-;Fixed Pitch;-;Lyustdorfskaya doroga 172/2, (Chernomorskaya dorog;65113;Odessa; ;+380 482 334339;+380 482 334340; ; ;3 187 t;2 516 t;1 021 t;-;-;-;114 m;110 m;13,2 m;5,5 m;-;-;4 700 m²;-;-;-;-;-;Gearless;-;-;-;-;-;-;-;-;-;-;-;-
Nadvoitsy;Diesel;Russian Federation;273332800;8871584;UISP;105x17 m;2 829 t;3 997 t;10,8 kn;"<span title=""Сегодня, 11:55"">только что</span>"; ; ;На Ходу;Ни одного;(Ø5,5 kn);3,9 m;250,8° ;252°;"46°55'15"" N 37°54'20"" E";In Service;St Petersburg;Oltenita;Russian Maritime Register;1988;-;Steel;-;-;Dvigatel Revolyutsii;6CHRNP36/45;-;1 324 / 1 800;-;-;-;-;-;Fixed Pitch;-;45-46 Portului Street, 915400 Oltenita;915400;Oltenita; ;+40 242 510320;+40 213 111401; ; ;3 997 t;2 829 t;1 012 t;-;-;-;105,3 m;100,2 m;16,7 m;5,5 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Nardis;Diesel;Iran;422914000;9137246;EPAQ4;98x16 m;2 842 t;3 817 t;11 kn;"<span title=""Сегодня, 11:45"">11мин назад</span>"; ; ;Пришвартовано;Ни одного;(Ø20,1 kn);4,2 m;197,1° ;346°;"37°28'29"" N 49°27'56"" E";In Service;Bandar Anzali;Oltenita;Germanischer Lloyd;2001;-;Steel;-;-;-;6VD29/24AL-2;-;1 700 / 2 312;1 000 rpm;-;-;-;-;Fixed Pitch;-;45-46 Portului Street, 915400 Oltenita;915400;Oltenita; ;+40 242 510320;+40 213 111401; ; ;3 817 t;2 842 t;1 414 t;-;-;-;98 m;93,5 m;16 m;5,7 m;-;-;4 936 m²;-;-;-;-;-;-;-;-;-;25.50x13.20;-;-;-;-;-;-;-;-
Nataly 1;Diesel;Russian Federation;273343680;8865949;UENC;107x16 m;3 082 t;3 977 t;11 kn;"<span title=""Сегодня, 11:53"">3мин назад</span>"; ; ;На Якоре;Ни одного;(Ø1,6 kn);3,5 m;220° ;-;"47°11'31"" N 39°40'01"" E";In Service;Valletta;Navashino;Russian Maritime Register;1990;-;Steel;1034;-;Dvigatel Revolyutsii;6CHRN36/45;-;1 766 / 2 402;375 rpm;-;-;-;-;Fixed Pitch;-;pereulok Spasonalivkovskiy 2-y, Moscow, 119991, Ru;119991;Moscow; ;+7 495 748 2085;+7 495 748 2086; ; ;3 977 t;3 082 t;1 042 t;-;-;-;107,4 m;101,2 m;16,7 m;5,5 m;-;-;4 404 m²;-;-;-;-;-;-;-;-;-;28.80x13.30;-;-;-;-;-;-;-;-
Nautilus;Diesel;Russian Federation;273319030;8848941;UBJK;108x15 m;2 562 t;3 226 t;10,4 kn;23 апреля 2016, 17:16; ; ;На Якоре;Ни одного;(Ø0,2 kn);3,4 m;315,1° ;-;"46°19'34"" N 47°59'15"" E";In Service;Taganrog;Oltenita;Russian Maritime Register;1990;-;Steel;-;-;-;6NVD48A-2U;-;1 030 / 1 400;300 rpm;-;-;-;-;Fixed Pitch;-;45-46 Portului Street, 915400 Oltenita;915400;Oltenita; ;+40 242 510320;+40 213 111401; ; ;3 226 t;2 562 t;1 020 t;-;-;-;108,4 m;105 m;15 m;-;-;-;4 315 m²;-;-;-;-;-;-;-;-;-;15.50x10.70;-;-;-;-;-;-;-;-
Neva;Diesel;Russian Federation;273419310;8719413;UIZF;82x12 m;1 497 t;1 669 t;11 kn;"<span title=""Сегодня, 11:56"">только что</span>"; ; ;На Ходу;Ни одного;(Ø6,1 kn);3,3 m;241° ;239°;"44°39'12"" N 34°50'42"" E";In Service;St Petersburg;Rosslau;Russian Maritime Register;1988;-;Steel;332/3483;-;-;8NVDS36/24A-1;-;882 / 1 200;500 rpm;-;-;-;-;Fixed Pitch;-;ul Krasnoputilovskaya 113/1, St Petersburg, 196240;196240;St Petersburg; ;+7 812 325 1823;+7 812 325 1825; ; ;1 669 t;1 497 t;538 t;-;-;-;82 m;78,1 m;11,6 m;-;-;-;1 940 m²;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Neva-Leader 1;-;Russian Federation;273351280;9598816;UBAJ4;140x17 m;"<span title=""Сегодня, 11:49"">7мин назад</span>"; ; ;На Ходу;Ни одного;(Ø8,3 kn);-;18,5° ;-;"45°50'31"" N 36°59'04"" E";-;-;-;-;-;-;-;-;-;-;-;-;-;- / -;-;-;-;-;-;-;-;Bolshaya Morskaya ul. 37;190000;-; ;+7 812 380 2398;+7 812 380 2354; ; ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Neva-Leader 5;-;Russian Federation;273333560;9598854;UBFK7;140x17 m;"<span title=""Сегодня, 11:54"">3мин назад</span>"; ; ;Пришвартовано;Ни одного;(Ø0 kn);4,6 m;-;220°;"47°11'59"" N 38°56'45"" E";-;-;-;-;-;-;-;-;-;-;-;-;-;- / -;-;-;-;-;-;-;-;Bolshaya Morskaya ul. 37;190000;-; ;+7 812 380 2398;+7 812 380 2354; ; ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Neva-Leader 6;-;Russian Federation;273334560;9598866;UBFK8;140x17 m;"<span title=""Сегодня, 10:17"">1ч 1мин назад</span>"; ; ;На Ходу;Ни одного;(Ø10,4 kn);3,2 m;55,5° ;-;"44°34'42"" N 36°02'44"" E";-;-;-;-;-;-;-;-;-;-;-;-;-;- / -;-;-;-;-;-;-;-;Bolshaya Morskaya ul. 37;190000;-; ;+7 812 380 2398;+7 812 380 2354; ; ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Neva-Leader 3;-;Russian Federation;273350190;9598830;UCNO;140x17 m;"<span title=""Сегодня, 11:56"">только что</span>"; ; ;На Ходу;Ни одного;(Ø7,5 kn);3,8 m;101,7° ;108°;"45°10'30"" N 36°31'07"" E";-;-;-;-;-;-;-;-;-;-;-;-;-;- / -;-;-;-;-;-;-;-;Bolshaya Morskaya ul. 37;190000;-; ;+7 812 380 2398;+7 812 380 2354; ; ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Neva-Leader 4;-;Russian Federation;273359980;9598842;UDXG;140x17 m;"<span title=""Сегодня, 11:56"">только что</span>"; ; ;Пришвартовано;Ни одного;(Ø0,4 kn);3,8 m;-;-;"47°12'10"" N 39°41'38"" E";-;-;-;-;-;-;-;-;-;-;-;-;-;- / -;-;-;-;-;-;-;-;Bolshaya Morskaya ul. 37;190000;-; ;+7 812 380 2398;+7 812 380 2354; ; ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Neva-Leader 7;-;Russian Federation;273333880;9598878;UFQP;140x17 m;"<span title=""Сегодня, 10:36"">1ч 1мин назад</span>"; ; ;На Якоре;Ни одного;(Ø7,9 kn);4,5 m;-;218°;"45°07'45"" N 36°32'43"" E";-;-;-;-;-;-;-;-;-;-;-;-;-;- / -;-;-;-;-;-;-;-;Bolshaya Morskaya ul. 37;190000;-; ;+7 812 380 2398;+7 812 380 2354; ; ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Neva-Leader 2;-;Russian Federation;273350280;9598828;UBAJ3;140x17 m;"<span title=""Сегодня, 6:18"">5ч 5мин назад</span>"; ; ;На Ходу;Ни одного;(Ø4,7 kn);3,7 m;107° ;-;"59°47'22"" N 30°39'29"" E";-;-;-;-;-;-;-;-;-;-;-;-;-;- / -;-;-;-;-;-;-;-;Bolshaya Morskaya ul. 37;190000;-; ;+7 812 380 2398;+7 812 380 2354; ; ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Nevskiy;"
              Не Судно
            ";Russian Federation;273417200;6703549;UBRZ;94x13 m;04 августа, 9:35; ; ;На Якоре;Ни одного;(Ø0,2 kn);3,4 m;205,5° ;-;"46°21'42"" N 48°02'13"" E"
Neyma;-;Russian Federation;273347000;8895528;UHQQ;122x15 m;16 января, 16:44; ; ;На Якоре;Ни одного;(Ø0 kn);2,7 m;-;-;"45°23'02"" N 36°41'37"" E"
Nefterudovoz-54m;Diesel;Russian Federation;273347700;8726193;UDYD;119x13 m;2 615 t;3 280 t;11 kn;31 мая, 13:03; ; ;На Ходу;Ни одного;(Ø2,6 kn);3,8 m;130,1° ;132°;"38°50'57"" N 26°55'00"" E";In Service;Astrakhan;Perm;Russian Maritime Register;1986;-;Steel;-;-;-;6NVD48A-U;-;970 / 1 318;428 rpm;-;-;-;-;Fixed Pitch;-;ul Ostrovnaya 2, Moscow, 121552, Russia;121552;Moscow; ;+7 495 234 5247;+7 495 234 5248; ; ;3 280 t;2 615 t;1 144 t;-;-;-;119 m;112,8 m;13,5 m;5,8 m;-;-;1 821 m²;-;-;-;-;-;-;-;-;-;70.40x4.90;3 556;-;-;-;-;-;-;-
Nefterudovoz-35m;Diesel;Russian Federation;273344200;7832751;UFAW;119x13 m;2 615 t;3 345 t;11 kn;"<span title=""Сегодня, 11:31"">26мин назад</span>"; ; ;На Якоре;Ни одного;(Ø5,2 kn);3,8 m;51,6° ;233°;"45°28'44"" N 36°44'43"" E";In Service;Astrakhan;Perm;Russian Maritime Register;1980;-;Steel;-;-;-;6NVD48A-2U;-;1 134 / 1 542;428 rpm;-;-;-;-;Fixed Pitch;-;ul Ostrovnaya 2, Moscow, 121552, Russia;121552;Moscow; ;+7 495 234 5247;+7 495 234 5248; ; ;3 345 t;2 615 t;1 144 t;-;-;-;118,9 m;112,8 m;13,5 m;5,8 m;-;-;1 821 m²;-;-;-;-;-;-;-;-;-;70.40x4.90;3 556;-;-;-;-;-;-;-
Nefterudovoz-51m;Diesel;Russian Federation;273343800;8726167;UFLF;119x13 m;2 615 t;3 280 t;11 kn;"<span title=""Сегодня, 11:57"">только что</span>"; ; ;На Якоре;Ни одного;(Ø0 kn);3,8 m;334,6° ;351°;"39°43'25"" N 53°10'58"" E";In Service;Astrakhan;Perm;Russian Maritime Register;1985;-;Steel;-;-;-;6NVD48A-U;-;970 / 1 318;428 rpm;-;-;-;-;Fixed Pitch;-;ul Ostrovnaya 2, Moscow, 121552, Russia;121552;Moscow; ;+7 495 234 5247;+7 495 234 5248; ; ;3 280 t;2 615 t;1 144 t;-;-;-;119 m;112,3 m;13,5 m;5,8 m;-;-;1 821 m²;-;-;-;-;-;-;-;-;-;70.40x4.90;3 556;-;-;-;-;-;-;-
Nefterudovoz-52m;Diesel;Russian Federation;273342800;8726179;UDZM;119x13 m;2 615 t;3 280 t;11 kn;20 августа, 19:49; ; ;На Ходу;Ни одного;(Ø0,8 kn);3,8 m;203,8° ;204°;"48°29'33"" N 44°33'26"" E";In Service;Astrakhan;Perm;Russian Maritime Register;1985;-;Steel;-;-;-;6NVD48A-U;-;970 / 1 318;428 rpm;-;-;-;-;Fixed Pitch;-;ul Ostrovnaya 2, Moscow, 121552, Russia;121552;Moscow; ;+7 495 234 5247;+7 495 234 5248; ; ;3 280 t;2 615 t;1 144 t;-;-;-;119 m;112,3 m;13,5 m;5,8 m;-;-;1 821 m²;-;-;-;-;-;-;-;-;-;70.40x4.90;3 556;-;-;-;-;-;-;-
Rigel;Diesel;Russian Federation;273364000;7741160;UBUG;119x13 m;2 613 t;3 345 t;11 kn;Вчера, 21:53; ; ;На Ходу;Ни одного;(Ø5,3 kn);3,8 m;356,6° ;356°;"46°58'20"" N 47°34'16"" E";In Service;St Petersburg;Perm;Russian Maritime Register;1979;-;Steel;-;-;-;6NVD48A-2U;-;1 134 / 1 542;428 rpm;-;-;-;-;Fixed Pitch;-;ul Mokhovaya 39A, St Petersburg, 191028;191028;St Petersburg; ;+7 812 718 1952;+7 812 718 1953; ; ;3 345 t;2 613 t;1 144 t;-;-;-;119 m;112,8 m;13,5 m;5,8 m;-;-;1 821 m²;-;-;-;-;-;-;-;-;-;70.40x4.90;3 556;-;-;-;-;-;-;-
Nefterudovoz-47m;Diesel;Russian Federation;273347800;8227381;UFFP;119x13 m;2 615 t;3 280 t;11 kn;"<span title=""Сегодня, 10:19"">1ч 1мин назад</span>"; ; ;На Ходу;Ни одного;(Ø7,1 kn);3,8 m;78,7° ;-;"44°41'04"" N 36°00'29"" E";In Service;Astrakhan;Perm;Russian Maritime Register;1984;-;Steel;-;-;-;6NVD48A-U;-;970 / 1 318;428 rpm;-;-;-;-;Fixed Pitch;-;ul Belorusskaya 132, Samara, 443042, Russia;443042;Samara; ;+7 846 309 2266;+7 846 309 2266; ; ;3 280 t;2 615 t;1 144 t;-;-;-;119,1 m;112,3 m;13,5 m;5,8 m;-;-;1 821 m²;-;-;-;-;-;-;-;-;-;70.40x4.90;3 556;-;-;-;-;-;-;-
Nefterudovoz-57m;Diesel;Russian Federation;273343200;8726222;UEXB;119x13 m;2 615 t;3 280 t;11 kn;"<span title=""Сегодня, 3:51"">8ч назад</span>"; ; ;На Ходу;Ни одного;(Ø6,6 kn);3,8 m;290,2° ;288°;"43°55'39"" N 49°18'50"" E";In Service;Astrakhan;Perm;Russian Maritime Register;1987;-;Steel;-;-;-;6NVD48A-U;-;970 / 1 318;428 rpm;-;-;-;-;Fixed Pitch;-;ul. Lenina 97/1, Ufa, Bashkortostan, 450006;450006;Moscow; ;+7 347 229 3500;+7 347 225 6256; ; ;3 280 t;2 615 t;1 144 t;-;-;-;119 m;112,8 m;13,5 m;5,8 m;-;-;1 821 m²;-;-;-;-;-;-;-;-;-;70.40x4.90;3 556;-;-;-;-;-;-;-
Nefterudovoz-59m;Diesel;Russian Federation;273341800;8834615;UDZL;2 615 t;3 280 t;11 kn;03 мая, 9:46; ; ;Пришвартовано;Ни одного;(Ø0 kn);3,8 m;214,6° ;-;"44°34'27"" N 33°25'36"" E";In Service;Astrakhan;Perm;Russian Maritime Register;1990;-;Steel;-;-;-;6NVD48A-2U;-;1 134 / 1 542;428 rpm;-;-;-;-;Fixed Pitch;-;kv 18, ul Volskaya 50, Samara, 443063, Russia;443063;Samara; ;+7 846 246 7379;+7 846 246 7368; ; ;3 280 t;2 615 t;1 144 t;-;-;-;119,1 m;112,9 m;13,5 m;5,8 m;-;-;1 821 m²;-;-;-;-;-;-;-;-;-;70.40x4.90;3 556;-;-;-;-;-;-;-
Nikifor Shurekov;"
              Не Судно
            ";Russian Federation;273353710;9076789;UBXG8;32x6 m;29 июля, 9:00; ; ;На Ходу;Ни одного;(Ø5,3 kn);-;19,3° ;-;"46°15'03"" N 47°59'27"" E"
Nikolai Psomiadi;Diesel;Russian Federation;273438710;8858439;UDWO;108x15 m;2 426 t;3 174 t;"<span title=""Сегодня, 10:53"">1ч 1мин назад</span>"; ; ;На Ходу;Ни одного;(Ø0 kn);3,3 m;187° ;-;"46°18'29"" N 47°58'35"" E";In Service;Taganrog;Krasnoyarsk;Russian Maritime Register;1986;-;Steel;-;-;-;-;6NVD48A-2U;-;1 030 / 1 400;300 rpm;-;-;-;-;Fixed Pitch;-;PO Box 32, Business Center, proyezd Savelkinskiy 4;125195;Moscow; ;+7 495 739 6544;+7 495 739 6542; ; ;3 174 t;2 426 t;952 t;-;-;-;108,4 m;102,1 m;15,2 m;-;-;-;4 340 m²;-;-;-;-;-;-;-;-;-;15.40x11.00;-;-;-;-;-;-;-;-
Novopolye;Diesel;Russian Federation;273337250;8869555;UHAQ;118x13 m;3 086 t;3 332 t;10 kn;"<span title=""Сегодня, 5:53"">6ч назад</span>"; ; ;На Ходу;Ни одного;(Ø5,9 kn);4,1 m;25,6° ;-;"49°10'29"" N 44°56'12"" E";In Service;Kingstown;Komarno;Russian Maritime Register;1992;-;Steel;2341;-;Skoda;6L275IIIPN;-;1 030 / 1 400;600 rpm;-;-;-;-;Fixed Pitch;-;ul Donskaya 24, Rostov-na-Donu, 344007;344007;Rostov-na-Donu; ;+7 863 259 8179;+7 836 259 8177; ; ;3 332 t;3 086 t;925 t;-;-;12 t;115,8 m;111,2 m;13,4 m;-;-;-;4 064 m²;-;-;-;-;-;-;-;-;-;24.00x10.13;-;-;-;-;-;-;-;-
Nord;Diesel;Russian Federation;273343560;8888915;UAMV;50x11 m;680 t;83 t;09 августа, 22:37; ; ;На Ходу;Ни одного;(Ø0,4 kn);2,5 m;209,8° ;321°;"45°02'06"" N 48°28'51"" E";In Service;Aqtau;Perm;Russian Maritime Register;1988;-;Steel;-;-;-;Skoda;6L275A2;-;1 030 / 1 400;600 rpm;-;-;-;-;Fixed Pitch;-;Office 6, Tamshaly Building, mikrorayon 14, 58, Aqtau;130000;Aqtau; ;+7 329 242 8272;+7 329 242 8277; ; ;83 t;680 t;204 t;-;-;-;49,5 m;45,6 m;10,6 m;3,5 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
M/V Suadiye;Diesel;620154000;8955524;D6A2154;108x15 m;2 463 t;3 197 t;10,8 kn;"<span title=""Сегодня, 11:58"">только что</span>"; ; ;Пришвартовано;Ни одного;(Ø0,7 kn);3,3 m;155,6° ;226°;"47°14'16"" N 39°51'09"" E";In Service;Taganrog;-;Krasnoyarsk;Russian Maritime Register;1983;-;Steel;-;-;-;6NVDS48A-2U;-;1 030 / 1 400;375 rpm;-;-;-;-;Fixed Pitch;-;pereulok Semashko 3, Rostov-na-Donu, 344002;34775;ISTANBUL; ;+905309358878 Ersan;+7 8632 698483; ; ;3 197 t;2 463 t;979 t;-;-;-;108 m;102,7 m;15 m;-;-;-;4 725 m²;-;-;-;-;-;-;-;-;-;15.50x10.90;-;-;-;-;-;-;-;-
Newton;Diesel;Russian Federation;273310850;8866802;UBRK;108x15 m;2 426 t;3 174 t;14 мая 2016, 14:10; ; ;Ограниченная Маневренность;Ни одного;(Ø0,2 kn);3,3 m;25° ;-;"46°17'21"" N 47°58'01"" E";In Service;Taganrog;Oltenita;Russian Maritime Register;1986;-;Steel;-;-;-;-;6NVD48A-2U;-;1 030 / 1 400;300 rpm;-;-;-;-;Fixed Pitch;-;45-46 Portului Street, 915400 Oltenita;915400;Oltenita; ;+40 242 510320;+40 213 111401; ; ;3 174 t;2 426 t;956 t;-;-;-;108,4 m;101,8 m;15 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Olimpia;Diesel;Russian Federation;273332220;9482017;UBLF5;127x16 m;5 172 t;6 826 t;10 kn;"<span title=""Сегодня, 6:36"">5ч 5мин назад</span>"; ; ;На Ходу;Ни одного;(Ø9,1 kn);3,6 m;267° ;268°;"34°23'49"" N 32°49'47"" E";In Service;Taganrog;Perm;-;2009;-;Steel;5001;-;Wartsila;6L20;-;1 836 / 2 496;1 000 rpm;-;-;-;-;-;-;ul Buksirnaja 4, 614023 Perm;614023;Perm; ;+7 342 254 9301;+7 342 254 9099; ; ;6 826 t;5 172 t;2 899 t;-;-;-;127,3 m;122,4 m;16,8 m;6,9 m;-;-;-;-;-;-;-;-;-;-;-;-;32.80x13.00;-;-;-;-;-;-;-;-
Omskiy-107;Diesel;Russian Federation;273343220;8866759;UBWE3;108x15 m;2 441 t;3 248 t;10,5 kn;"<span title=""Сегодня, 1:29"">10ч назад</span>"; ; ;На Ходу;Ни одного;(Ø7,8 kn);3,3 m;178° ;176°;"38°06'36"" N 52°46'40"" E";In Service;Taganrog;Oltenita;Russian Maritime Register;1981;-;Steel;-;-;-;6NVD48A-2U;-;1 030 / 1 400;300 rpm;-;-;-;-;Fixed Pitch;-;45-46 Portului Street, 915400 Oltenita;915400;Oltenita; ;+40 242 510320;+40 213 111401; ; ;3 248 t;2 441 t;834 t;-;-;-;108,4 m;101,8 m;15 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Omskiy 14;Diesel;Russian Federation;273340210;8874914;UERS;109x16 m;2 463 t;3 174 t;10,1 kn;"<span title=""Сегодня, 2:51"">9ч назад</span>"; ; ;На Ходу;Ни одного;(Ø7,6 kn);3,3 m;168,5° ;179°;"45°28'45"" N 47°45'37"" E";In Service;Taganrog;Krasnoyarsk;Russian Maritime Register;1980;-;Steel;-;-;-;6NVDS48A-2U;-;1 030 / 1 400;375 rpm;-;-;-;-;Fixed Pitch;-;PO Box 32, Business Center, proyezd Savelkinskiy 4;125195;Moscow; ;+7 495 739 6544;+7 495 739 6542; ; ;3 174 t;2 463 t;979 t;-;-;-;108,4 m;101,8 m;15 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Omskiy-6;Diesel;Russian Federation;273339310;8937687;UBEF7;108x15 m;3 095 t;3 843 t;10 kn;Вчера, 11:25; ; ;На Ходу;Ни одного;(Ø8 kn);3,8 m;162° ;165°;"43°15'59"" N 51°07'56"" E";In Service;Astrakhan;Krasnoyarsk;Russian Maritime Register;1975;-;Steel;-;-;-;6NVD48A-2U;-;1 030 / 1 400;-;-;-;-;-;Fixed Pitch;-;Office 23, naberezhnaya Savvinskaya 5;119121;Moscow; ;+7 495 787 2284;+7 495 787 2286; ; ;3 843 t;3 095 t;1 801 t;-;-;-;108,4 m;102,4 m;15 m;-;-;-;4 542 m²;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Omskiy-99;Diesel;Russian Federation;273430720;8943399;UAOH;115x15 m;2 463 t;3 108 t;10,5 kn;Вчера, 19:25; ; ;На Ходу;Ни одного;(Ø6,3 kn);3,3 m;22° ;-;"48°55'41"" N 44°45'42"" E";In Service;Taganrog;Oltenita;Russian Maritime Register;1979;-;Steel;-;-;-;6NVDS48A-2U;-;1 030 / 1 400;375 rpm;-;-;-;-;Fixed Pitch;-;45-46 Portului Street, 915400 Oltenita;915400;Oltenita; ;+40 242 510320;+40 213 111401; ; ;3 108 t;2 463 t;979 t;-;-;-;108,4 m;102,2 m;15 m;-;-;-;4 340 m²;-;-;-;-;-;-;-;-;-;15.80x11.00;-;-;-;-;-;-;-;-
Aksay;Diesel;Russian Federation;273441210;8866735;UBBV;108x15 m;2 426 t;3 174 t;10,1 kn;"<span title=""Сегодня, 11:58"">только что</span>"; ; ;Пришвартовано;Ни одного;(Ø0 kn);3,3 m;349° ;-;"47°12'37"" N 39°42'40"" E";In Service;Kaliningrad;Oltenita;Russian Maritime Register;1980;-;Steel;-;-;-;6NVD48A-2U;-;1 030 / 1 400;300 rpm;-;-;-;-;Fixed Pitch;-;45-46 Portului Street, 915400 Oltenita;915400;Oltenita; ;+40 242 510320;+40 213 111401; ; ;3 174 t;2 426 t;956 t;-;-;-;108,4 m;105 m;15 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Omskiy-105;Diesel;Russian Federation;273313240;8866747;UBRU;108x15 m;2 441 t;3 248 t;10,5 kn;"<span title=""Сегодня, 11:28"">31мин назад</span>"; ; ;На Якоре;Ни одного;(Ø4,4 kn);3,3 m;324,1° ;-;"47°34'04"" N 40°49'53"" E";In Service;Taganrog;Oltenita;Russian Maritime Register;1980;-;Steel;-;-;-;6NVD48A-2U;-;1 030 / 1 400;-;-;-;-;-;Fixed Pitch;-;45-46 Portului Street, 915400 Oltenita;915400;Oltenita; ;+40 242 510320;+40 213 111401; ; ;3 248 t;2 441 t;917 t;-;-;-;108,4 m;102 m;15 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Omskiy-108;Diesel;Russian Federation;273315640;8889414;UHXQ;108x15 m;2 360 t;3 183 t;9 kn;20 августа, 17:59; ; ;На Ходу;Ни одного;(Ø8,2 kn);3,2 m;202,8° ;210°;"37°07'42"" N 51°46'38"" E";In Service;Vladivostok;Oltenita;Russian Maritime Register;1980;-;Steel;-;-;-;6NVD48A-2U;-;1 030 / 1 400;-;-;-;-;-;Fixed Pitch;-;45-46 Portului Street, 915400 Oltenita;915400;Oltenita; ;+40 242 510320;+40 213 111401; ; ;3 183 t;2 360 t;870 t;-;-;-;108,4 m;105 m;15 m;-;-;-;-;-;-;-;-;-;Gearless;-;-;-;15.50x10.90;-;-;-;-;-;-;-;-
